epoch;jito_total_mev_lamports;jito_total_mev_sol;jito_stake_weight_lamports;jito_mev_reward_per_lamport
762;20414373469401;20414.373469;359302234078172173;5.681671732928751e-05
763;20477678773792;20477.678774;361833930646761923;5.6594136258003965e-05
764;17662074292980;17662.074293;362948797200262738;4.866271614404792e-05
765;24657790815941;24657.790816;365328462398556731;6.749485286213609e-05
766;17873441016020;17873.441016;364839520109420884;4.898987097302257e-05
767;15379403997874;15379.403998;364891763877948241;4.214785182988734e-05
768;24331500271301;24331.500271;364404360278054517;6.677060684107931e-05
769;28722360486887;28722.360487;363738953131988992;7.896421386703831e-05
770;25045612368060;25045.612368;363845740676398392;6.883579926344493e-05
771;25884080006158;25884.080006;363995661925934631;7.111095739219238e-05
772;33728575565659;33728.575566;365600805315321980;9.225520041338232e-05
773;24522635053565;24522.635054;368422237298124582;6.656122397335496e-05
774;16088224603449;16088.224603;369618618175639847;4.352655362128972e-05
775;23468900282188;23468.900282;370272562397514729;6.338276898030704e-05
776;26700958904113;26700.958904;371122113105455479;7.194655872345133e-05
777;26736684125369;26736.684125;368663456625416999;7.252328280677677e-05
778;24727474332985;24727.474333;370390131098865115;6.676061875521382e-05
779;28206672895799;28206.672896;371627698667475742;7.5900351338014e-05
780;34510174143555;34510.174144;371253094199334840;9.295592328457644e-05
781;22889783482474;22889.783482;373828426295121754;6.123071942207917e-05
782;24822884454744;24822.884455;372810137465224260;6.65831799089945e-05
783;26844588080742;26844.588081;364750960702617737;7.359703187355949e-05
784;27073007635345;27073.007635;372043674167862689;7.276835897263477e-05
785;24255551705098;24255.551705;372923553650179511;6.504161903340353e-05
786;48005241018439;48005.241018;374894832770988664;0.00012804988712064718
787;42824762428354;42824.762428;381401234186792638;0.00011228270542874127
788;24721212857439;24721.212857;382936430280292206;6.455696272967339e-05
789;23149136902204;23149.136902;382365466394832554;6.054191326551462e-05
790;24857702580230;24857.70258;380881581650334894;6.526359839329381e-05
791;21150160747566;21150.160748;384131302032674239;5.505971691358536e-05
792;12872820601647;12872.820602;381187903103493421;3.377027575335201e-05
793;16465268270708;16465.268271;383854194236586728;4.28945899717321e-05
794;14406047501161;14406.047501;381833112111072653;3.7728649098851277e-05
795;10734741041772;10734.741042;382823527849339012;2.8040964728784068e-05
796;13329249399823;13329.2494;382882554845779685;3.481289296450671e-05
797;15407452358818;15407.452359;383845821291475341;4.013969021983509e-05
798;18611237754966;18611.237755;385512074006997323;4.827666630910292e-05
799;10143249700470;10143.2497;385734145097502046;2.629596013053522e-05
800;13745735564087;13745.735564;384739871994854777;3.572734869618823e-05
801;13854470089690;13854.47009;382842312768432512;3.6188450512443926e-05
802;11299068710221;11299.06871;382959370657324545;2.9504614786751117e-05
803;15020564680302;15020.56468;385846400826475348;3.8928870784146874e-05
804;13334000505754;13334.000506;387524911700350201;3.440811184821167e-05
805;13088270397843;13088.270398;384971526176070889;3.399802195203636e-05
806;11848727879668;11848.72788;385132793558038994;3.0765305052846435e-05
807;14263956080167;14263.95608;384937740777113678;3.705522885693379e-05
808;15423003986088;15423.003986;377959721556072794;4.080594599496205e-05
809;12305708818182;12305.708818;381137301063412391;3.228681313491963e-05
810;14395085240624;14395.085241;380091072370675567;3.787272653061818e-05
