Name,Vote Account,Identity,REV,Inflation,MEV,Tx,User Tx,Vote Tx,Pri Fees,Sig Fees,Rewards,Stake,Votes,Latency,CU,Leader Slots
,FN2BJjzy7WMRAqMNwzZrv5iDmHaNwukyFMfWCc6FxZDw,74Xkp2iLXm315h69sFRiCFjmKnaWkMV8W2LgJwPRSgN5,0.36562266216216216,0.33488466216216217,0.0090205,1245,478,767,0.0184583,0.0032723,0.0217175,1052,2896,1.013,29556283,148
Elysium 🧊 0% fee,3R4effnUPr3sDo5wdegPBnqTmKTZhKkbgL1wxYw7w4B6,As9NxA9bCfhrVLAFyGeWG5X5iLYPGhU3R7nLfX3tN6am,0.36557469117647057,0.3331616911764706,0.0089489,1286,511,774,0.0201048,0.0033711,0.0234641,1053,3154,1.013,33239138,136
Ded Monkes,dedxrPfNqPKBRmUyP9LDkaitpQzU6PD44jA6GP9Ndhk,dmMwc4RazLHkvDZYrWAfbHQ6cViAvNa5szCJKaiun8S,0.3653975464285714,0.3253079464285714,0.0027595,1229,485,744,0.0340843,0.003257,0.0373301,1023,3556,1.147,31553243,112
BULK,BULKEEKf9Hjy4nwCthjzheEk4joH23LLXttAHjqEZmB2,BULKzVM41WAyQZfL34vxqdsYwEYH9mJAJyzRS4xraf8b,0.3651770214285714,0.3329173214285714,0.0021777,1367,595,771,0.026484,0.0036113,0.030082,1050,1501,1.16,38879436,280
StakeITeasy🚀High APY + 0% fee✅ + MEV🔥,vahVByZszdHguLa7U7GLz8UdUFN85mcwdkefiqVjtGt,vahMVcSS3v6uwyFormV7FDAUbQSHwmy6vUedp1P7L42,0.36482646226415094,0.34125146226415093,0.0045544,1316,549,767,0.0155769,0.0034556,0.0190206,1076,2022,1.012,36197791,212
KAST,9RXDftY5xyhtYyzk4z7U9ddvBF2Z8DMfXmV6P6du9dxS,GkFT5nmcFVmJiLwuE98PjdF3LReMeq4WbejFHfwrnsgw,0.3647965904761905,0.3370686904761905,0.0047886,1297,528,769,0.0195429,0.0034084,0.0229393,1058,1277,1.01,34744220,336
Sarmina,VNbW721iu6uVkrx246N2BiQth8u4b4SCPJwH3JvUovD,CwhdMezLucz7bcuWzStpLXgrzKGC2tBBiaVmJZjfprRN,0.36457990625,0.26607390625,0.002983,1277,510,767,0.0921957,0.00334,0.095523,1126,7149,1.168,33739777,64
Stake.org,StakeyJXE1yJbEApBVswHN4JdZXcj7V5MHbzffa4dFp,Stakex4B2tpDHPWGvV1dninfiaYCGdakgTknpzPitLh,0.3645786851063829,0.33671558510638294,0.0087673,1375,615,760,0.0154817,0.0036269,0.0190958,1061,1165,1.572,37836087,188
,ChUNkzj5yQbcMuyErYZBgbGaCEfTdur1sqJqrUujuyFi,BADc8V9fi8KsZfF26K6DgZsywcJYZTX5EW5jypnVCB8d,0.36439049999999995,0.32623559999999996,0.0030242,1373,603,770,0.0315185,0.0036255,0.0351307,1023,2143,1.014,37365825,200
RSSA validator,RSSAw6n7Tvqi5iJc2xvHMfk1bhx47GVqj2pj1bq5NUq,rssaJ2iKcE9QWsFYRZr8Q66TQh5bRk9DxYrzxGMzWQr,0.3643614333333333,0.3336183333333333,0.0059011,1286,540,745,0.021465,0.0033891,0.024842,1047,3301,1.138,33499126,120
